Fecha,Percentil equiponderado 77.25,Percentil ponderado 80.96,"Media Truncada Equiponderada (55.91, 92.18)","Media Truncada Ponderada (46.44, 98.55)","Inflación de exclusión dinámica (0.47, 4.97)","Exclusión fija de gastos básicos IPC (12, 52)",MAI óptima CORR 2018,"MAI (G,3,[0.32, 0.77])","MAI (FP,5,[0.34, 0.66, 0.78, 0.86])","MAI (F,5,[0.32, 0.66, 0.78, 0.87])"
01/12/2001,13.082516,15.427256,12.934756,16.224205,11.020649,9.004271,9.671562,9.1012,9.482157,9.824287
01/01/2002,13.79937,16.320587,13.565135,16.457355,11.403931,9.234142,10.056311,9.465218,9.880233,10.198868
01/02/2002,13.982534,16.956818,13.732016,16.929663,11.627722,9.599506,10.232573,9.825838,10.051811,10.376846
01/03/2002,13.884914,16.830015,13.672686,16.890694,11.663961,9.528351,10.163643,9.759533,10.007084,10.289073
01/04/2002,13.873756,17.036295,13.662791,16.983341,11.712896,9.419298,10.091255,10.009909,9.927559,10.218883
01/05/2002,13.866949,16.428816,13.667715,16.744959,11.481428,9.205687,10.112734,9.804249,9.954203,10.238707
01/06/2002,13.578987,16.223408,13.363552,16.21487,11.203361,8.971095,9.929835,9.631693,9.790254,10.040975
01/07/2002,13.344204,16.075336,13.118542,15.607166,10.875547,8.618999,9.737479,9.481549,9.637666,9.817266
01/08/2002,12.044334,14.722216,11.998272,14.296091,10.044252,7.811177,8.923944,8.685362,8.864331,8.972335
01/09/2002,11.573887,14.174628,11.518574,14.024377,9.818912,7.50798,8.527419,8.366632,8.445633,8.59226
01/10/2002,11.099136,13.604212,10.94234,13.375711,9.251844,6.9546103,8.073002,7.97019,7.9731107,8.1513405
01/11/2002,10.58997,13.391865,10.553098,13.434744,9.467876,6.9332123,7.782579,7.9382777,7.6884866,7.8537345
01/12/2002,10.15259,13.066196,10.203409,13.045716,9.2360735,6.5704346,7.490482,7.7519655,7.4062943,7.5528502
01/01/2003,9.237968,12.182606,9.180319,12.402832,8.236731,6.020272,6.8961954,7.2891235,6.846142,6.930685
01/02/2003,8.806574,11.394024,8.701539,11.777651,7.8484297,5.5606008,6.502304,6.8546414,6.464839,6.5274477
01/03/2003,8.484268,11.000311,8.373892,11.565054,7.745731,5.512476,6.208291,6.653285,6.1626196,6.238866
01/04/2003,8.391989,11.168205,8.281744,11.540389,7.825911,5.700302,6.142273,6.753981,6.091571,6.1750293
01/05/2003,8.38319,11.407447,8.244265,11.585331,7.8591347,6.0302973,6.086075,6.8882227,6.0308933,6.120336
01/06/2003,8.30077,11.313688,8.187938,11.55814,7.732725,5.915022,6.021783,6.6666365,5.9756517,6.0506463
01/07/2003,8.216513,10.761976,8.121586,11.466921,7.7476144,5.9638023,5.962389,6.404698,5.840516,6.0522556
01/08/2003,8.081114,10.498608,7.977283,11.350405,7.708633,5.940175,5.8153486,6.268728,5.675912,5.918765
01/09/2003,8.011365,10.347832,7.966614,11.315703,7.815826,6.0133696,5.8378973,6.0059786,5.7130456,5.932939
01/10/2003,7.8312993,10.400856,7.850766,11.338353,7.817149,6.142473,5.7420053,5.9191823,5.6274176,5.8289766
01/11/2003,7.663405,10.41416,7.6465964,11.148537,7.586825,6.1192393,5.5267906,5.6815147,5.430889,5.599475
01/12/2003,7.596183,10.715998,7.6053143,11.246681,7.690966,6.236291,5.485933,5.8811903,5.3962708,5.5512667
01/01/2004,7.522309,11.253476,7.6267123,11.861634,8.172536,6.7641854,5.466483,6.4107537,5.381322,5.5226088
01/02/2004,7.371688,11.371983,7.5174212,12.2012615,8.360779,6.845176,5.4201326,6.4240336,5.323243,5.48476
01/03/2004,7.359767,11.307049,7.5913906,12.388336,8.449388,7.0691347,5.5067134,6.4415812,5.426562,5.559039
01/04/2004,7.1902037,10.957754,7.4974537,12.3665695,8.34446,6.9268703,5.417144,6.2282205,5.332005,5.474639
01/05/2004,7.4089885,11.4494915,7.6763034,12.68264,8.665049,7.099879,5.598198,6.475818,5.508876,5.658245
01/06/2004,7.498276,11.761152,7.727051,12.862837,8.840179,7.216823,5.6387086,6.783521,5.5428863,5.7010293
01/07/2004,7.4772716,11.867655,7.679689,12.82649,8.76075,7.3435426,5.567236,6.8305254,5.5271626,5.584979
01/08/2004,7.772255,12.289047,7.993555,13.1297,8.903027,7.631147,5.849471,7.036102,5.8173895,5.861783
01/09/2004,8.070314,12.9974,8.323336,13.735115,9.204292,8.002353,6.102781,7.6094747,6.0656548,6.115675
01/10/2004,8.447075,13.241982,8.779073,14.309942,9.619188,8.228767,6.5036592,8.002626,6.4831853,6.5036654
01/11/2004,8.92489,13.737106,9.25355,15.052164,9.896219,8.493733,6.919763,8.2901,6.9078565,6.914425
01/12/2004,9.171081,13.784003,9.464371,15.041626,9.8318815,8.535862,7.11958,8.257139,7.099533,7.1229815
01/01/2005,9.467983,13.241291,9.9087715,14.566565,9.8431,8.250797,7.4082613,7.7589393,7.38827,7.419789
01/02/2005,9.682012,13.082611,10.075784,14.148498,9.5908165,8.252215,7.529298,7.6247096,7.4898124,7.558632
01/03/2005,9.764099,13.272751,10.058045,14.037395,9.439158,7.9758167,7.4910545,7.6836824,7.4390173,7.5291395
01/04/2005,9.769333,13.288236,10.015631,14.240217,9.494686,8.046889,7.466944,7.7381134,7.413161,7.505572
01/05/2005,9.753311,12.808442,10.022438,14.311242,9.461987,7.9707265,7.4378123,7.604623,7.3830843,7.478261
01/06/2005,9.660602,12.61735,9.968019,14.558924,9.523905,8.2545395,7.3904853,7.3376417,7.3432207,7.427418
01/07/2005,9.761786,12.99243,10.06453,15.0980835,9.759641,8.326387,7.493389,7.6171517,7.4527264,7.523346
01/08/2005,9.431707,12.80514,9.799838,14.905298,9.558415,8.028555,7.275674,7.498336,7.2232723,7.3137403
01/09/2005,9.340513,12.620926,9.693373,14.861261,9.677374,7.990861,7.178913,7.3811054,7.1206927,7.2217226
01/10/2005,9.52524,13.972628,10.111356,16.217815,10.507261,8.577883,7.5703173,7.747245,7.333946,7.751894
01/11/2005,9.468567,14.010143,10.109758,15.870857,10.497379,8.026624,7.6298804,7.8066945,7.386923,7.816577
01/12/2005,9.435738,13.733029,10.056793,15.67111,10.4724045,7.814491,7.5510626,7.6621294,7.315862,7.732415
01/01/2006,9.147549,14.180672,9.79054,15.358007,9.897542,7.654643,7.4282317,7.81523,7.210171,7.5933933
01/02/2006,8.758497,13.751125,9.498966,14.908648,9.736061,6.9632053,7.188922,7.5517178,6.9891095,7.340157
01/03/2006,8.705735,13.826752,9.578681,15.1018505,9.826649,6.963992,7.310069,7.518804,7.0798635,7.486534
01/04/2006,8.8920355,13.853908,9.769333,15.374613,9.939504,7.0316195,7.4770517,7.558775,7.227385,7.6699615
01/05/2006,8.626866,13.644993,9.564018,15.691233,9.934128,6.8448663,7.3050356,7.3688865,7.03212,7.516217
01/06/2006,8.485484,13.193405,9.525156,15.2153015,9.773981,6.6874623,7.2917137,7.2217345,7.0247054,7.499695
01/07/2006,8.469069,12.920797,9.539139,14.824462,9.61672,6.4605474,7.2847195,6.962514,7.020092,7.493472
01/08/2006,8.517957,12.692976,9.533728,15.031397,9.791279,6.3990474,7.270974,6.8894744,6.997943,7.48688
01/09/2006,8.3148365,12.157404,9.255255,14.1657715,9.10672,5.7088017,7.0342746,6.432855,6.7730784,7.2432756
01/10/2006,7.822287,10.426962,8.399892,11.967921,7.7666283,4.7483563,6.26573,5.6971073,6.1583877,6.354797
01/11/2006,7.442546,9.567213,7.9933524,11.21695,7.3028564,4.9613833,5.8545685,5.282223,5.746448,5.9442997
01/12/2006,7.412064,9.526849,8.049011,11.696053,7.4332476,5.1490545,5.9003973,5.2810073,5.78115,5.999267
01/01/2007,7.3087215,8.68107,7.72146,11.579954,7.4018717,5.1865935,5.7302237,5.0338984,5.595839,5.8416724
01/02/2007,7.3522687,9.026373,7.7850223,11.910057,7.455051,5.8164,5.7556734,5.2313685,5.626452,5.861318
01/03/2007,7.497108,9.349907,7.851076,12.078751,7.5977087,6.260705,5.819869,5.4493427,5.720675,5.900562
01/04/2007,7.3901534,9.393728,7.714224,11.589885,7.6275945,6.1102867,5.7100725,5.4295897,5.632949,5.772674
01/05/2007,7.503879,9.277678,7.7025414,10.638725,7.230222,5.6667686,5.7029753,5.3438783,5.6520104,5.7460546
01/06/2007,7.662177,9.356046,7.7941656,10.788452,7.188332,5.527246,5.7179713,5.401039,5.6526423,5.77178
01/07/2007,7.7765703,9.66202,7.8176737,11.020207,7.3446393,6.177962,5.7820764,5.58393,5.7150245,5.835986
01/08/2007,8.053743,10.241246,8.146834,11.320602,7.4831486,6.754577,6.103388,5.8843374,6.0571313,6.141329
01/09/2007,8.32094,10.644126,8.366966,11.786485,7.69099,7.395017,6.275429,6.269312,6.2186003,6.319368
01/10/2007,8.426666,10.8389015,8.628309,12.3192425,8.077204,7.628393,6.5586615,6.4022064,6.5258145,6.5855026
01/11/2007,8.935892,12.349236,9.203661,14.196563,9.206545,8.588076,7.0148454,7.201576,6.9550633,7.0590377
01/12/2007,9.243345,13.766182,9.4314575,14.983487,9.696234,9.105766,7.204548,8.05875,7.13042,7.2529435
01/01/2008,9.581947,14.215016,9.776485,15.187335,9.748411,9.072638,7.255728,8.201849,7.1938634,7.2936296
01/02/2008,10.012781,14.853727,10.139847,15.686262,10.208284,9.346986,7.585903,8.557653,7.516885,7.6290846
01/03/2008,10.405278,14.912807,10.51613,16.085232,10.54132,9.463608,7.8233614,8.741438,7.7552676,7.8663707
01/04/2008,10.907984,15.922093,10.993778,17.207516,10.9104395,10.424816,8.228115,9.296644,8.170879,8.261097
01/05/2008,11.335802,17.413925,11.533106,18.979347,11.919535,11.670113,8.675236,10.21372,8.620119,8.701658
01/06/2008,11.920034,18.86077,12.114263,20.29345,12.765646,12.38122,9.24272,10.947693,9.171653,9.279787
01/07/2008,12.704039,19.918764,12.897194,21.413862,13.622212,12.253189,9.835051,11.536765,9.727489,9.900498
01/08/2008,12.772596,19.682049,12.864137,21.077383,13.501215,11.874044,9.780504,11.454678,9.663736,9.853399
01/09/2008,12.90325,19.696438,13.045979,21.080566,13.548052,11.335349,9.999298,11.295521,9.888184,10.071718
01/10/2008,13.208842,20.018566,13.222671,21.179604,13.513792,11.609364,10.114738,11.474525,9.977436,10.206854
01/11/2008,13.054764,18.90626,12.9647255,19.528889,12.441969,10.311961,9.942278,10.777593,9.803629,10.040903
01/12/2008,12.596882,17.128956,12.529588,17.996002,11.624026,8.864212,9.579497,9.650934,9.451056,9.678149
01/01/2009,11.607349,15.837216,11.567116,16.757118,10.485721,7.7104807,9.034824,9.1433525,8.910894,9.129608
01/02/2009,10.8506565,14.608526,10.821033,15.606904,9.590054,6.3100696,8.372296,8.413017,8.258748,8.459747
01/03/2009,10.031319,13.556528,9.9781275,14.177585,8.493101,5.227661,7.661732,7.591808,7.5452566,7.752645
01/04/2009,9.230673,12.230396,9.212923,12.736082,7.7441573,4.165876,6.92918,6.7533016,6.804955,7.0272565
01/05/2009,8.56688,10.69845,8.578944,11.213768,6.8116307,3.098607,6.3900337,5.7260513,6.245744,6.5088153
01/06/2009,7.7385545,9.204149,7.684684,9.697747,5.718398,2.123189,5.563386,4.87746,5.4492116,5.65902
01/07/2009,6.7233205,7.795334,6.695342,8.156705,4.561794,1.4464498,4.7229624,4.079652,4.6550035,4.7822595
01/08/2009,6.3179255,7.3051095,6.30548,7.6137424,4.2569637,1.0539293,4.3500643,3.6595821,4.2841554,4.408276
01/09/2009,5.9818864,6.955898,5.990219,7.3423505,4.026282,1.0740161,4.0510654,3.5329103,3.9796233,4.1118026
01/10/2009,5.463898,6.310475,5.4646134,6.6394567,3.537774,0.2161622,3.5391703,3.0843496,3.4720063,3.5959482
01/11/2009,5.1084757,6.008816,5.089247,6.6307783,3.4843802,0.11365414,3.1747391,2.9430032,3.1330585,3.2094002
01/12/2009,4.876852,5.939162,4.862404,6.4228654,3.3391714,0.3746271,2.9565077,2.8983355,2.9249907,2.981472
01/01/2010,4.7841787,6.4765096,4.977572,6.9224715,3.9303184,0.9628773,3.1080105,3.0285597,3.0650854,3.1420588
01/02/2010,4.8351765,6.5096617,4.982829,7.173848,4.2425632,1.8223882,3.1202435,3.123939,3.074491,3.1556249
01/03/2010,5.100775,6.97428,5.332923,8.042347,4.7255993,2.5902271,3.4671097,3.4501195,3.424406,3.5003185
01/04/2010,5.259502,7.076001,5.515933,8.291685,4.888928,2.6442766,3.690217,3.593874,3.6346793,3.734219
01/05/2010,5.3296804,7.0450306,5.564952,8.129894,4.6813726,2.6621819,3.7150452,3.6479235,3.6879182,3.736651
01/06/2010,5.417156,7.0129395,5.701065,8.088756,4.775417,2.64014,3.8655624,3.6820889,3.8018584,3.916812
01/07/2010,5.486274,6.930232,5.764997,8.020496,4.788637,2.6709437,3.9228091,3.695774,3.8541675,3.9783478
01/08/2010,5.4993033,6.9693923,5.766952,8.010138,4.713416,2.7915359,3.8976798,3.763926,3.8232088,3.9567828
01/09/2010,5.439019,6.8369865,5.7420373,8.006167,4.8232317,3.1035542,3.8457773,3.6606789,3.780675,3.8981318
01/10/2010,5.5335402,6.922853,5.8153033,8.3112,5.1012635,3.454399,3.9263096,3.8193345,3.8685203,3.9721608
01/11/2010,5.527246,6.9284916,5.8396816,8.127761,5.050719,3.5698295,3.9840975,3.799498,3.9236426,4.0328264
01/12/2010,5.8223724,7.114136,6.0887218,8.3817005,5.2942395,3.9478064,4.214554,3.9486527,4.151094,4.266453
01/01/2011,5.6855917,7.790506,5.9360027,8.795619,5.6600094,3.8755417,4.0392714,4.0320873,3.9990425,4.070425
01/02/2011,5.974996,8.609354,6.303668,9.438742,6.183338,3.9075017,4.3661594,4.3449044,4.318607,4.403138
01/03/2011,6.014979,8.774877,6.3729763,9.74195,6.611705,3.7719965,4.3926063,4.558015,4.341352,4.4305205
01/04/2011,6.263411,9.765649,6.7273617,10.434067,7.1128488,4.067552,4.70181,4.8374057,4.6679497,4.7264934
01/05/2011,6.4000487,10.541773,6.896341,10.960806,7.522404,4.4030547,4.9003057,5.2156806,4.838288,4.945004
01/06/2011,6.5045238,10.917414,7.0297837,11.363268,7.90962,4.6153903,4.94197,5.415106,4.8987985,4.9703717
01/07/2011,6.672299,11.333668,7.302356,12.217259,8.264912,4.760039,5.2376895,5.693674,5.185449,5.2733064
01/08/2011,6.941664,12.056267,7.5889826,12.731564,8.610403,4.7959685,5.563825,6.1248302,5.519867,5.591893
01/09/2011,7.0202947,12.155664,7.655561,12.633538,8.5379715,4.6227694,5.638525,6.18428,5.595875,5.6657314
01/10/2011,7.1537495,12.158716,7.8660965,12.454891,8.494604,4.601431,5.833679,6.10044,5.77147,5.878985
